ANO_ESCOLAR	RBD	NOMBRE_ESTA	TIPO_DEPENDENCIA	RURAL_ESTAB	CP_REGION	NOM_REGION	COD_COMUNA	NOM_COMUNA	TOTAL_MATRICULA	TOTAL_DOCENTES	TOTAL_ASISTENTES
2013	15534	COLEGIO SAN IGNACIO	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6108	MACHALÍ                                           	498	37	25
2013	15535	ESCUELA SANTA TERESA DE AVILA	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6115	RENGO                                             	301	23	4
2013	15536	GARDEN SNOOPY	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	25	3	4
2013	15538	JARDIN INFANTIL PEQUENO MUNDO FELIZ	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6310	SANTA CRUZ                                        	44	9	0
2013	15544	COLEGIO CRIPTOCARYA ALBA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6112	PEUMO                                             	168	11	7
2013	15546	JARDIN INFANTIL MI GRANJA	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	0	1	2
2013	15521	COLEGIO INGLES SAINT JOHN	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	747	50	10
2013	15554	EL PEQUENO MOZART	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6108	MACHALÍ                                           	656	31	14
2013	15557	ESCUELA ESPECIAL FRAY AVE MARIA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	81	8	12
2013	15561	JARDIN INFANTIL PASCUALITA	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	27	2	2
2013	15564	COLEGIO LA CRUZ	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6108	MACHALÍ                                           	727	97	28
2013	15569	ESCUELA PUERTECILLO	2	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6205	NAVIDAD                                           	3	1	0
2013	15570	ESCUELA BASICA GALVARINO VALENZUELA MORAGA	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6304	LOLOL                                             	400	24	22
2013	15571	COLEGIO PARTICULAR LA PRIMAVERA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6114	QUINTA DE TILCOCO                                 	153	9	11
2013	15574	LICEO MUNICIPAL DE ADULTOS SANTA CRUZ	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6310	SANTA CRUZ                                        	187	11	3
2013	15576	COLEGIO ARRAYANES	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	322	35	19
2013	15579	COLEGIO PARTICULAR ALMA MATER	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6115	RENGO                                             	277	28	11
2013	15551	ESCUELA DE AUDICION Y LENGUAJE CRECER	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	86	9	13
2013	15583	LICEO TECNICO PROFESIONAL EL TAMBO	1	1	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6117	SAN VICENTE                                       	412	28	19
